dataset,prop_signif,omega,assurance,pos_80pct,pos_80pct_signif,pos_80pct_196,replication,repl_196,repl_signif,sign,sign_196,sign_signif
ArelBundock,0.467,0.652,0.401,0.204,0.485,0.072,0.384,0.363,0.686,0.852,0.956,0.991
Askarov,0.521,0.714,0.48,0.292,0.583,0.098,0.465,0.401,0.753,0.878,0.962,0.994
BarnettWren,0.832,0.083,0.32,0.127,0.378,0.045,0.3,0.316,0.607,0.821,0.946,0.985
Bartos,0.264,0.822,0.227,0.085,0.356,0.031,0.205,0.233,0.543,0.756,0.906,0.969
Brodeur,0.374,0.786,0.36,0.174,0.466,0.053,0.341,0.327,0.664,0.833,0.948,0.988
Chavalarias,0.839,0.197,0.515,0.325,0.6,0.131,0.5,0.437,0.763,0.892,0.968,0.995
Cochrane,0.306,0.705,0.23,0.097,0.399,0.051,0.21,0.264,0.602,0.689,0.819,0.942
CostelloFox,0.419,0.794,0.384,0.234,0.582,0.083,0.368,0.341,0.74,0.79,0.893,0.979
ManyLabs2,0.443,0.992,0.433,0.342,0.772,0.108,0.418,0.305,0.847,0.754,0.792,0.973
Metapsy,0.484,0.831,0.463,0.265,0.541,0.105,0.448,0.408,0.73,0.876,0.963,0.993
Nuijten,0.53,0.848,0.482,0.289,0.572,0.108,0.468,0.412,0.746,0.881,0.964,0.994
OSC,0.354,1,0.356,0.223,0.602,0.086,0.338,0.313,0.739,0.785,0.898,0.98
SCORE_claims,0.868,0.124,0.466,0.268,0.547,0.101,0.451,0.405,0.732,0.876,0.963,0.993
SCORE_replications,0.799,0.302,0.512,0.328,0.616,0.11,0.497,0.414,0.772,0.888,0.965,0.995
WWC,0.335,0.879,0.32,0.171,0.512,0.064,0.301,0.308,0.685,0.757,0.875,0.97
ctgov_euctr,0.521,0.946,0.469,0.281,0.579,0.085,0.453,0.384,0.749,0.873,0.96,0.993
psymetadata,0.358,0.666,0.327,0.209,0.617,0.081,0.309,0.293,0.748,0.722,0.814,0.962
