title_key,journal,year,source_doi,doi
audit risk and rent extraction evidence from a randomized evaluation in brazil,Journal of Development Economics,2018,NA,10.1016/j.jdeveco.2018.03.008
ban the box criminal records and racial discrimination a field experiment,Quarterly Journal of Economics,2018,NA,10.1093/qje/qjx028
banking the unbanked evidence from three countries,AEJ: Applied Economics,2018,10.1257/rct.83-1.0,10.1257/app.20160597
can quotas increase the supply of candidates for higher level positions evidence from local government in india,Review of Economics and Statistics,2020,NA,10.1162/rest_a_00802
competitive preferences and ethnicity experimental evidence from bangladesh,Economic Journal,2020,NA,10.1093/ej/uez063
can online off the shelf lessons improve student outcomes evidence from a field experiment,AEJ: Economic Policy,2018,NA,10.1257/pol.20170211
can iron fortified salt control anemia evidence from two experiments in rural bihar,Journal of Development Economics,2018,10.1257/rct.10-1.0,10.1016/j.jdeveco.2017.12.004
can referral improve targeting evidence from an agricultural training experiment,Journal of Development Economics,2020,NA,10.1016/j.jdeveco.2019.102436
can unconditional cash transfers raise long term living standards evidence from zambia,Journal of Development Economics,2018,NA,10.1016/j.jdeveco.2018.01.008
can vouchers reduce elite capture of local development projects experimental evidence from the solomon islands,Journal of Public Economics,2018,10.1257/rct.1820-1.0,10.1016/j.jpubeco.2018.02.011
caseworker s discretion and the effectiveness of welfare to work programs,Journal of Public Economics,2020,NA,10.1016/j.jpubeco.2019.104080
cash transfers polygamy and intimate partner violence experimental evidence from mali,Journal of Development Economics,2020,NA,10.1016/j.jdeveco.2019.102410
combining pre school teacher training with parenting education a cluster randomized controlled trial,Journal of Development Economics,2018,NA,10.1016/j.jdeveco.2018.04.004
competition and entry in agricultural markets experimental evidence from kenya,American Economic Review,2020,10.1257/rct.682-3.0,10.1257/aer.20171397
coordination and contagion individual connections and peer mechanisms in a randomized field experiment,Journal of Public Economics,2020,NA,10.1016/j.jpubeco.2019.104069
credit lines in microcredit short term evidence from a randomized controlled trial in india,Journal of Development Economics,2020,NA,10.1016/j.jdeveco.2020.102497
do anti poverty programs sway voters experimental evidence from uganda,Review of Economics and Statistics,2018,NA,10.1162/rest_a_00737
double for nothing experimental evidence on an unconditional teacher salary increase in indonesia,Quarterly Journal of Economics,2018,NA,10.1093/qje/qjx040
data and policy decisions experimental evidence from pakistan,Journal of Development Economics,2020,NA,10.1016/j.jdeveco.2020.102523
debates voting and expenditure responses to political communication,Journal of Political Economy,2020,10.1257/rct.26-7.0,10.1086/706862
decentralized delivery of financial education experimental evidence from rwanda,Journal of Development Economics,2020,10.1257/rct.1150-1.0,10.1016/j.jdeveco.2020.102439
designed to fail effects of the default option and information complexity on student loan repayment,Journal of Public Economics,2020,NA,10.1016/j.jpubeco.2020.104298
diffusion of agricultural information within social networks evidence on gender inequalities from mali,Journal of Development Economics,2018,NA,10.1016/j.jdeveco.2018.01.009
do job networks disadvantage women evidence from a recruitment experiment in malawi,Journal of Labor Economics,2018,NA,10.1086/693869
do low wage employers discriminate against applicants with long commutes,Journal of Human Resources,2020,NA,10.3368/jhr.55.3.1016-8327r
do management interventions last evidence from india,AEJ: Applied Economics,2020,10.1257/rct.2808-1.0,10.1257/app.20180369
does advertising serve as a signal evidence from a field experiment in mobile search,Review of Economic Studies,2020,NA,10.1093/restud/rdz053
does information break the political resource curse experimental evidence from mozambique,American Economic Review,2020,10.1257/rct.2493-3.0,10.1257/aer.20190842
does teaching children how to play cognitively demanding games improve their educational attainment,Journal of Human Resources,2018,NA,10.3368/jhr.53.4.0516.7952r
does feedback matter evidence from agricultural services,Journal of Development Economics,2018,NA,10.1016/j.jdeveco.2017.10.013
does improved storage technology promote modern input use and food security evidence from a randomized trial in uganda,Journal of Development Economics,2018,NA,10.1016/j.jdeveco.2018.07.006
does inducing informal firms to formalize make sense experimental evidence from benin,Journal of Public Economics,2018,10.1257/rct.515-4.0,10.1016/j.jpubeco.2017.11.004
do peers influence occupational preferences evidence from randomlyassigned peer groups atwest point,Journal of Public Economics,2020,NA,10.1016/j.jpubeco.2020.104154
do single sex classes affect academic achievement an experiment in a coeducational university,Journal of Public Economics,2018,NA,10.1016/j.jpubeco.2018.08.016
ethnically biased experimental evidence from kenya,Journal of the European Economic Association,2020,10.1257/rct.16-1.0,10.1093/jeea/jvz003
economic and psychological effects of health insurance and cash transfers evidence from a randomized experiment in kenya,Journal of Development Economics,2020,10.1257/rct.647-2.0,10.1016/j.jdeveco.2019.102416
educational inequality and public policy preferences evidence from representative survey experiments,Journal of Public Economics,2020,NA,10.1016/j.jpubeco.2020.104226
e governance accountability and leakage in public programs experimental evidence from a financial management reform in india,AEJ: Applied Economics,2020,10.1257/rct.9-1.0,10.1257/app.20180302
experimental evidence on the economics of rural electrification,Journal of Political Economy,2020,10.1257/rct.350-8.299999999999999,10.1086/705417
experimental evidence on scaling up education reforms in kenya,Journal of Public Economics,2018,NA,10.1016/j.jpubeco.2018.08.007
experimental identification of asymmetric information evidence on crop insurance in the philippines,Journal of Development Economics,2020,10.1257/rct.168-2.1,10.1016/j.jdeveco.2019.102414
experimental long term effects of early childhood and school age exposure to a conditional cash transfer program,Journal of Development Economics,2020,NA,10.1016/j.jdeveco.2019.102385
experimenting with caseworker direction evidence from voucher funded job training,Journal of Human Resources,2020,NA,10.3368/jhr.55.2.0716.8057r1
exploiting externalities to estimate the long term effects of early childhood deworming,AEJ: Applied Economics,2018,NA,10.1257/app.20160183
friendship and female education evidence from a field experiment in bangladeshi primary schools,Economic Journal,2020,NA,10.1093/ej/uez064
facts alternative facts and fact checking in times of post truth politic,Journal of Public Economics,2020,NA,10.1016/j.jpubeco.2019.104123
failure of frequent assessment an evaluation of india s continuous and comprehensive evaluation program,Journal of Development Economics,2020,10.1257/rct.8-1.0,10.1016/j.jdeveco.2019.102406
formal finance and informal safety nets of the poor evidence from a savings field experiment,Journal of Development Economics,2018,NA,10.1016/j.jdeveco.2018.07.015
formalization without certification experimental evidence on property rights and investment,Journal of Development Economics,2018,NA,10.1016/j.jdeveco.2017.12.008
fostering patience in the classroom results from randomized educational intervention,Journal of Political Economy,2018,NA,10.1086/699007
framing effects earnings expectations and the design of student loan repayment schemes,Journal of Public Economics,2020,NA,10.1016/j.jpubeco.2019.104067
free to choose can school choice reduce student achievement,AEJ: Applied Economics,2018,NA,10.1257/app.20160634
god insures those who pay formal insurance and religious offerings in ghana,Quarterly Journal of Economics,2020,10.1257/rct.558-4.0,10.1093/qje/qjaa015
gender gaps in technology diffusion,Journal of Development Economics,2020,NA,10.1016/j.jdeveco.2019.102380
gender quotas in development programming null results from a field experiment in congo,Journal of Development Economics,2018,NA,10.1016/j.jdeveco.2018.02.006
ghostbusting in detroit evidence on nonfilers from a controlled field experiment,Journal of Public Economics,2018,NA,10.1016/j.jpubeco.2018.01.005
grain today gain tomorrow evidence from a storage experiment with savings clubs in kenya,Journal of Development Economics,2018,NA,10.1016/j.jdeveco.2018.04.001
health services as credence goods a field experiment,Economic Journal,2020,NA,10.1093/ej/ueaa024
healthcare at the beginning of life and child survival evidence from a cash transfer experiment in nigeria,Journal of Development Economics,2020,NA,10.1016/j.jdeveco.2019.102426
household economic strengthening through financial and psychosocial programming evidence from a field experiment in south africa,Journal of Development Economics,2018,10.1257/rct.2138-4.0,10.1016/j.jdeveco.2018.06.016
how do firms form their expectations new survey evidence,American Economic Review,2018,NA,10.1257/aer.20151299
howcan bill andmelinda gates increase other people s donations to fund public goods,Journal of Public Economics,2020,NA,10.1016/j.jpubeco.2020.104296
how effective is energy efficient housing evidence from a field trial in mexico,Journal of Development Economics,2020,NA,10.1016/j.jdeveco.2019.102390
how information about foreign aid affects public spending decisions evidence from a field experiment in malawi,Journal of Development Economics,2020,NA,10.1016/j.jdeveco.2020.102522
how information affects support for education spending evidence from survey experiments in germany and the united states,Journal of Public Economics,2018,NA,10.1016/j.jpubeco.2018.09.011
how to improve teaching practice an experimental comparison of centralized training and in classroom coaching,Journal of Human Resources,2020,10.1257/rct.1749-1.0,10.3368/jhr.55.3.0618-9538r1
identity and bias insights from driving tests,Economic Journal,2020,NA,10.1093/ej/uez048
interfirm relationships and business performance,Quarterly Journal of Economics,2018,NA,10.1093/qje/qjx049
it s getting crowded in here experimental evidence of demand constraints in the gender profit gap,Economic Journal,2020,10.1257/rct.2802-2.0,10.1093/ej/ueaa040
immaterial and monetary gifts in economic transactions evidence from the field,Experimental Economics,2018,NA,10.1007/s10683-017-9536-1
improving college instruction through incentives,Journal of Political Economy,2020,10.1257/rct.1411-2.0,10.1086/707025
improving learning outcomes through information provision experimental evidence from indian villages,Journal of Development Economics,2020,NA,10.1016/j.jdeveco.2018.08.002
incentivizing safer sexual behavior evidence from a lottery experiment on hiv prevention,AEJ: Applied Economics,2018,10.1257/rct.567-1.0,10.1257/app.20160469
informing and inquiring experimental evidence on reducing traffic violations,Journal of Development Economics,2020,NA,10.1016/j.jdeveco.2020.102534
