metaid,study,reference,doi
depression-selfguided-psyctr,"Dahne, 2023","Dahne, J., et al. (2023). ""Behavioral Activation–Based Digital Smoking Cessation Intervention for Individuals With Depressive Symptoms: Randomized Clinical Trial."" Journal of Medical Internet Research 25. ",10.2196/49809
depression-selfguided-psyctr,"Krämer, 2022","Krämer, R., Köhne-Voll, , L., Schumacher, A., & Köhler, S. Efficacy of an online intervention for treatment of depressive disorders: a three-arm randomized controlled trial comparing guided and unguided self-help with waitlist control. JMIR Form Res.",10.2196/34330
depression-selfguided-psyctr,"Lukas, 2021","Lukas, C. A., et al. (2021). ""A gamified smartphone-based intervention for depression: Randomized controlled pilot trial."" JMIR Mental Health 8(7).",10.2196/16643
depression-psyctr,"MacLean, 2020","MacLean S, Corsi DJ, Litchfield S, et al. Coach-facilitated web-based therapy compared with information about web-based resources in patients referred to secondary mental health care for depression: Randomized controlled trial. Journal of Medical Internet Research. 2020;22(6).",10.2196/15001
gad-psyctr,"Roy, 2021","Roy, A., Hoge, E. A., Abrante, P., Druker, S., Liu, T., & Brewer, J. A. (2021). Clinical Efficacy and Psychological Mechanisms of an App-Based Digital Therapeutic for Generalized Anxiety Disorder: Randomized Controlled Trial. Journal of Medical Internet Research, 23(12). doi:10.2196/26987",10.2196/26987
depression-psyctr,"Salamanca-Sanabria, 2020","Salamanca-Sanabria A, Richards D, Timulak L, et al. A culturally adapted cognitive behavioral internet-delivered intervention for depressive symptoms: Randomized controlled trial. JMIR Mental Health. 2020;7(1).",10.2196/13392
depression-psyctr,"Szumska, 2020","Szumska I, Gola M, Rusanowska M, et al. Mindfulness-based cognitive therapy reduces clinical symptoms, but do not change frontal alpha asymmetry in people with major depression disorder. International Journal of Neuroscience. 2020.",10.1080/00207454.2020.1748621
total-response,"Szumska, 2020","Szumska I, Gola M, Rusanowska M, et al. Mindfulness-based cognitive therapy reduces clinical symptoms, but do not change frontal alpha asymmetry in people with major depression disorder. International Journal of Neuroscience. 2020.",10.1080/00207454.2020.1748621
depression-psyctr,"Tonning, 2021","Tønning, M. L., et al. (2021). ""The effect of smartphone-based monitoring and treatment on the rate and duration of psychiatric readmission in patients with unipolar depressive disorder: The RADMIS randomized controlled trial."" J Affect Disord 282: 354-363.",10.1016/j.jad.2020.12.141
sad-psyctr,"Wang, 2020","Wang, H., Zhao, Q., Mu, W., Rodriguez, M., Qian, M., & Berger, T. (2020). The Effect of Shame on Patients With Social Anxiety Disorder in Internet-Based Cognitive Behavioral Therapy: Randomized Controlled Trial. JMIR Ment Health, 7(7), e15797. https://doi.org/10.2196/15797 ",10.2196/15797
total-response,"Wang, 2020","Wang H, Zhao Q, Mu W, Rodriguez M, Qian M, Berger T. The effect of shame on patients with social anxiety disorder in internet-based cognitive behavioral therapy: Randomized controlled trial. JMIR Mental Health. 2020;7(7).",10.2196/15797
